Nome da Empresa,Segmento da Empresa,score,b3,top,source
Embj3F,Tecnologia,5,True,False,brapi_quote_list
Embpar Participacoes,Indústria,5,True,False,brapi_quote_list
Empreendimentos Pague Menos,Varejo e Consumo,5,True,False,brapi_quote_list
Energisa,Energia e Utilities,5,True,False,brapi_quote_list
Energisa Mato Grosso-Distribuidora De Energia S/A,Energia e Utilities,5,True,False,brapi_quote_list
Engie Brasil Energia,Energia e Utilities,5,True,False,brapi_quote_list
Equatorial,Energia e Utilities,5,True,False,brapi_quote_list
Equatorial Maranhão Distribuidora De Energia,Energia e Utilities,5,True,False,brapi_quote_list
Equatorial Para Distribuidora De Energia,Energia e Utilities,5,True,False,brapi_quote_list
Eucatex S.A. Industria E Comercio,Indústria,5,True,False,brapi_quote_list
Even Construtora E Incorporadora,Financeiro,5,True,False,brapi_quote_list
Excelsior Alimentos,Varejo e Consumo,5,True,False,brapi_quote_list
Ez Tec Empreend. E Participacoes,Financeiro,5,True,False,brapi_quote_list
Fertilizantes Heringer,Indústria,5,True,False,brapi_quote_list
Fictor Alimentos,Serviços e Outros,5,True,False,brapi_quote_list
Frasle Mobility,Indústria,5,True,False,brapi_quote_list
Fspe11,Financeiro,5,True,False,brapi_quote_list
Fspe11F,Financeiro,5,True,False,brapi_quote_list
Fsrf11,Serviços e Outros,5,True,False,brapi_quote_list
Fsrf11F,Serviços e Outros,5,True,False,brapi_quote_list
Fstu11F,Financeiro,5,True,False,brapi_quote_list
GOL,Logística e Mobilidade,5,True,False,company_seeds_data
General Shopping E Outlets Do Brasil,Financeiro,5,True,False,brapi_quote_list
Gps Participacoes E Empreendimentos,Serviços e Outros,5,True,False,brapi_quote_list
Grazziotin,Varejo e Consumo,5,True,False,brapi_quote_list
Grupo Multi,Tecnologia,5,True,False,brapi_quote_list
Grupo SBF,Varejo e Consumo,5,True,False,company_seeds_data
Haga S.A. Industria E Comercio,Varejo e Consumo,5,True,False,brapi_quote_list
Hapvida,Saúde,5,True,False,company_seeds_data
Hapvida Participacoes E Investimentos,Saúde,5,True,False,brapi_quote_list
Hbr Realty Empreendimentos Imobiliarios S/A,Financeiro,5,True,False,brapi_quote_list
Helbor Empreendimentos,Varejo e Consumo,5,True,False,brapi_quote_list
Hercules S.A. Fabrica De Talheres,Varejo e Consumo,5,True,False,brapi_quote_list
Hospital Mater Dei S/A,Saúde,5,True,False,brapi_quote_list
Hoteis Othon,Varejo e Consumo,5,True,False,brapi_quote_list
Hypera,Saúde,5,True,False,company_seeds_data
Inepar S.A. Industria E Construcoes,Indústria,5,True,False,brapi_quote_list
Infracommerce Cxaas,Varejo e Consumo,5,True,False,brapi_quote_list
Intelbras S.A. Ind De Telec Eletronica Brasileira,Tecnologia,5,True,False,brapi_quote_list
International Meal Company Alimentacao,Varejo e Consumo,5,True,False,brapi_quote_list
Iochpe Maxion,Indústria,5,True,False,brapi_quote_list
Irb,Financeiro,5,True,False,brapi_quote_list
Isa Energia Brasil,Energia e Utilities,5,True,False,brapi_quote_list
Isnn11,Serviços e Outros,5,True,False,brapi_quote_list
Itaú Unibanco,Financeiro,5,True,False,company_seeds_data
Jalles Machado,Indústria,5,True,False,brapi_quote_list
Jhsf Participacoes,Financeiro,5,True,False,brapi_quote_list
Joao Fortes Engenharia,Varejo e Consumo,5,True,False,brapi_quote_list
Josapar-Joaquim Oliveira S.A. - Particip,Indústria,5,True,False,brapi_quote_list
Karsten,Indústria,5,True,False,brapi_quote_list
Kivo11,Serviços e Outros,5,True,False,brapi_quote_list
Lavvi Empreendimentos Imobiliários,Financeiro,5,True,False,brapi_quote_list
Localiza Rent A Car,Financeiro,5,True,False,brapi_quote_list
Log-In Logistica Intermodal,Logística e Mobilidade,5,True,False,brapi_quote_list
Lojas Americanas,Varejo e Consumo,5,True,False,company_seeds_data
Lojas Renner,Varejo e Consumo,5,True,False,company_seeds_data
Lupatech,Indústria,5,True,False,brapi_quote_list
M.Dias Branco S.A. Ind Com De Alimentos,Varejo e Consumo,5,True,False,brapi_quote_list
MRV&Co,Varejo e Consumo,5,True,False,company_seeds_data
Mahle-Metal Leve,Indústria,5,True,False,brapi_quote_list
Mangels Industrial,Indústria,5,True,False,brapi_quote_list
Manufatura De Brinquedos Estrela,Varejo e Consumo,5,True,False,brapi_quote_list
Marisa Lojas,Varejo e Consumo,5,True,False,brapi_quote_list
Mbrf3,Varejo e Consumo,5,True,False,brapi_quote_list
Mbrf3F,Varejo e Consumo,5,True,False,brapi_quote_list
Melnick Desenvolvimento Imobiliário,Indústria,5,True,False,brapi_quote_list
Metalfrio Solutions,Indústria,5,True,False,brapi_quote_list
Metalurgica Riosulense,Indústria,5,True,False,brapi_quote_list
Metalúrgica Gerdau,Indústria,5,True,False,company_seeds_data
Metisa Metalurgica Timboense,Indústria,5,True,False,brapi_quote_list
Mills Locação. Serviços E Logística,Financeiro,5,True,False,brapi_quote_list
Minerva,Agro e Alimentos,5,True,False,company_seeds_data
Minupar Participacoes,Indústria,5,True,False,brapi_quote_list
Mitre Realty Empreendimentos E Participações,Financeiro,5,True,False,brapi_quote_list
Motiva,Indústria,5,True,False,company_seeds_data
Motiva Infraestrutura De Mobilidade,Logística e Mobilidade,5,True,False,brapi_quote_list
Moura Dubeux Engenharia S/A,Financeiro,5,True,False,brapi_quote_list
Movida Participacoes,Financeiro,5,True,False,brapi_quote_list
Mpm Corpóreos,Varejo e Consumo,5,True,False,brapi_quote_list
Mrv Engenharia E Participacoes,Varejo e Consumo,5,True,False,brapi_quote_list
Multilaser,Varejo e Consumo,5,True,False,company_seeds_data
Multiplan - Empreend Imobiliarios,Financeiro,5,True,False,brapi_quote_list
Mundial S.A. - Produtos De Consumo,Varejo e Consumo,5,True,False,brapi_quote_list
Natura Cosmeticos,Varejo e Consumo,5,True,False,brapi_quote_list
Neogrid Participacoes,Tecnologia,5,True,False,brapi_quote_list
Nexa,Indústria,5,True,False,company_seeds_data
Nexpe Participações,Financeiro,5,True,False,brapi_quote_list
Nordon Industrias Metalurgicas,Indústria,5,True,False,brapi_quote_list
NotreDame Intermédica,Saúde,5,True,False,company_seeds_data
Nutriplant Industria E Comercio,Indústria,5,True,False,brapi_quote_list
Oceanpact Servicos Maritimos,Serviços e Outros,5,True,False,brapi_quote_list
Oncoclinicas Do Brasil Servicos Medicos,Saúde,5,True,False,brapi_quote_list
Oranjebtc S.A. - Educação E Investimento,Tecnologia,5,True,False,brapi_quote_list
Orizon Valorizacao De Residuos,Energia e Utilities,5,True,False,brapi_quote_list
Osx Brasil,Indústria,5,True,False,brapi_quote_list
Ourofino,Saúde,5,True,False,brapi_quote_list
Padtec Holding,Tecnologia,5,True,False,brapi_quote_list
Panatlantica,Indústria,5,True,False,brapi_quote_list
Paranapanema,Indústria,5,True,False,brapi_quote_list
Pbg S/A,Indústria,5,True,False,brapi_quote_list
Pdg Realty S.A. Empreend E Participacoes,Financeiro,5,True,False,brapi_quote_list
Petroleo Brasileiro S.A. Petrobras,Energia e Utilities,5,True,False,brapi_quote_list
Petrorecôncavo,Energia e Utilities,5,True,False,brapi_quote_list
Pettenati S.A. Industria Textil,Indústria,5,True,False,brapi_quote_list
Piracanjuba,Agro e Alimentos,5,True,False,company_seeds_data
Plano & Plano Desenvolvimento Imobiliário,Financeiro,5,True,False,brapi_quote_list
Plascar Participacoes Industriais,Indústria,5,True,False,brapi_quote_list
Porto Sudeste V.M.,Logística e Mobilidade,5,True,False,brapi_quote_list
Positivo,Tecnologia,5,True,False,company_seeds_data
Ppla Participations Ltd.,Financeiro,5,True,False,brapi_quote_list
Priner Serviços Industriais,Indústria,5,True,False,brapi_quote_list
Profarma Distrib Prod Farmaceuticos,Varejo e Consumo,5,True,False,brapi_quote_list
Raia Drogasil,Varejo e Consumo,5,True,False,brapi_quote_list
Randoncorp,Indústria,5,True,False,brapi_quote_list
Recrusul,Indústria,5,True,False,brapi_quote_list
Rede Energia Participações,Energia e Utilities,5,True,False,brapi_quote_list
Refinaria De Petroleos Manguinhos,Energia e Utilities,5,True,False,brapi_quote_list
