Data de Entrada,Nome da Empresa,Segmento da Empresa,Plataforma,URL,Data do Status,Status da URL
26/02/2023,Loggi,Logística,Workable,https://apply.workable.com/loggi,27/07/2023,1
26/02/2023,MadeiraMadeira,Varejo,Gupy,https://madeiracarreira.gupy.io/,27/07/2023,1
26/02/2023,McDonalds,Restaurante,Kenoby,https://jobs.kenoby.com/mcdonalds,27/07/2023,1
26/02/2023,Meliuz,Recompensas,Gupy,https://meliuz.gupy.io/,27/07/2023,1
27/03/2022,Microsoft,Tecnologia,Plataforma Própria,https://careers.microsoft.com/us/en/search-results,27/07/2023,1
26/02/2023,MJV,Consultoria,Kenoby,https://jobs.kenoby.com/mjv/,27/07/2023,1
26/02/2023,Natura&CO (Avon + The Body Shop),Cosméticos,Workday,https://avon.wd5.myworkdayjobs.com/NaturaAndCoCareers,27/07/2023,1
26/02/2023,Neon,Banco,Lever,https://jobs.lever.co/neon,27/07/2023,1
11/07/2023,Nestle,Alimentos,Gupy,https://nestle.gupy.io/,27/07/2023,1
26/02/2023,Notion,Tecnologia,Greenhouse,https://boards.greenhouse.io/notion,27/07/2023,1
26/02/2023,Nubank,Banco,Greenhouse,https://boards.greenhouse.io/nubank,27/07/2023,1
26/02/2023,Original,Banco,Gupy,https://somosoriginal.gupy.io/,27/07/2023,0
26/02/2023,PagSeguro,Banco,Gupy,https://pagseguro.gupy.io/,27/07/2023,1
26/02/2023,Paschoalotto,Gestão de Relacionamentos,Gupy,https://paschoalotto.gupy.io/,27/07/2023,1
26/02/2023,Porto Seguro,Seguradora,Kenoby,https://jobs.kenoby.com/porto-seguro/,27/07/2023,1
26/02/2023,Positivo Tecnologia,Tecnologia,Gupy,https://positivotecnologia.gupy.io/,27/07/2023,1
26/02/2023,Quinto Andar,Imoveis,Workable,https://apply.workable.com/quintoandar/,27/07/2023,1
26/02/2023,QUOD,Birô de Crédito,Gupy,https://vempraquod.gupy.io/,27/07/2023,1
26/02/2023,Raizen,Energia,Gupy,https://genteraizen.gupy.io/,27/07/2023,1
26/02/2023,RecargaPay,Tecnologia,Workable,https://apply.workable.com/recargapay/,27/07/2023,1
26/02/2023,Record,Televisão,Gupy,https://recordtv.gupy.io/,27/07/2023,1
26/02/2023,Rede,Soluções de Pagamento,Gupy,https://vemprarede.gupy.io/,27/07/2023,1
05/07/2023,Safra,Banco,Kenoby,https://venhasersafra.gupy.io/,27/07/2023,1
26/02/2023,Santander,Banco,Gupy,https://santanderbrasil.gupy.io/,27/07/2023,1
26/02/2023,Sicredi,Cooperativa,Gupy,https://sicredi.gupy.io/,27/07/2023,1
